"date","open","high","low","close","adj_close","volume"
"2020-06-09","1.25","1.25","1.14","1.24","1.24","32293600"
"2020-06-10","1.20","1.38","1.17","1.27","1.27","42425600"
"2020-06-11","1.16","1.23","1.05","1.09","1.09","24944000"
"2020-06-12","1.15","1.20","1.10","1.18","1.18","17512800"
"2020-06-15","1.13","1.19","1.11","1.17","1.17","15636000"
"2020-06-16","1.24","1.24","1.13","1.16","1.16","12485200"
"2020-06-17","1.14","1.21","1.13","1.19","1.19","14374000"
"2020-06-18","1.17","1.24","1.16","1.24","1.24","13695200"
"2020-06-19","1.24","1.27","1.17","1.22","1.22","29466400"
"2020-06-22","1.20","1.24","1.18","1.22","1.22","12715600"
"2020-06-23","1.24","1.25","1.20","1.21","1.21","12821600"
"2020-06-24","1.21","1.21","1.10","1.10","1.10","11904800"
"2020-06-25","1.08","1.14","1.08","1.12","1.12","9803200"
"2020-06-26","1.12","1.13","1.07","1.09","1.09","15204800"
"2020-06-29","1.09","1.13","1.08","1.10","1.10","8524800"
"2020-06-30","1.08","1.13","1.05","1.09","1.09","15556000"
"2020-07-01","1.08","1.13","1.08","1.11","1.11","9214800"
"2020-07-02","1.12","1.13","1.07","1.07","1.07","7550400"
"2020-07-06","1.08","1.09","1.05","1.06","1.06","8563600"
"2020-07-07","1.05","1.06","1.02","1.02","1.02","9826400"
"2020-07-08","1.03","1.07","1.01","1.07","1.07","8211200"
"2020-07-09","1.07","1.08","1.03","1.05","1.05","7970400"
"2020-07-10","1.05","1.10","1.05","1.09","1.09","5643200"
"2020-07-13","1.09","1.14","1.07","1.07","1.07","16864800"
"2020-07-14","1.06","1.08","1.02","1.02","1.02","9046400"
"2020-07-15","1.03","1.07","1.03","1.05","1.05","5896400"
"2020-07-16","1.05","1.05","1.02","1.04","1.04","5320400"
"2020-07-17","1.04","1.06","0.99","0.99","0.99","12263600"
"2020-07-20","0.99","1.02","0.94","0.96","0.96","13604400"
"2020-07-21","0.98","1.02","0.97","1.00","1.00","13351600"
"2020-07-22","1.01","1.03","0.98","1.03","1.03","10094000"
"2020-07-23","1.02","1.08","1.02","1.03","1.03","12948800"
"2020-07-24","1.02","1.06","1.00","1.01","1.01","8863600"
"2020-07-27","1.01","1.03","0.99","1.00","1.00","9890800"
"2020-07-28","0.99","1.01","0.98","0.99","0.99","18221600"
"2020-07-29","0.99","1.05","0.98","1.02","1.02","11518400"
"2020-07-30","1.00","1.06","0.99","1.03","1.03","9594000"
"2020-07-31","1.02","1.04","1.00","1.00","1.00","7517600"
"2020-08-03","1.01","1.06","1.00","1.04","1.04","10070400"
"2020-08-04","1.03","1.19","1.03","1.11","1.11","41445600"
"2020-08-05","1.13","1.19","1.06","1.16","1.16","19677200"
"2020-08-06","1.15","1.17","1.10","1.11","1.11","7604800"
"2020-08-07","1.10","1.10","1.02","1.04","1.04","13364400"
"2020-08-10","1.05","1.14","1.05","1.08","1.08","18247200"
"2020-08-11","1.11","1.14","1.09","1.09","1.09","12555200"
"2020-08-12","1.10","1.16","1.09","1.13","1.13","12230400"
"2020-08-13","1.13","1.18","1.13","1.16","1.16","8513200"
"2020-08-14","1.15","1.21","1.14","1.19","1.19","13897600"
"2020-08-17","1.20","1.20","1.14","1.16","1.16","9484000"
"2020-08-18","1.15","1.22","1.11","1.20","1.20","15337600"
"2020-08-19","1.20","1.21","1.16","1.18","1.18","10450400"
"2020-08-20","1.16","1.17","1.13","1.15","1.15","9764800"
"2020-08-21","1.15","1.40","1.15","1.26","1.26","42570400"
"2020-08-24","1.28","1.28","1.14","1.22","1.22","18341600"
"2020-08-25","1.22","1.31","1.22","1.25","1.25","11994800"
"2020-08-26","1.24","1.31","1.23","1.28","1.28","11118800"
"2020-08-27","1.28","1.35","1.26","1.31","1.31","13537600"
"2020-08-28","1.33","1.39","1.31","1.35","1.35","16947600"
"2020-08-31","1.44","1.79","1.42","1.67","1.67","151904000"
"2020-09-01","1.83","1.96","1.69","1.91","1.91","92634400"
"2020-09-02","1.95","2.01","1.78","1.93","1.93","52044400"
"2020-09-03","1.97","2.11","1.81","1.96","1.96","57378000"
"2020-09-04","1.95","1.98","1.79","1.91","1.91","30648000"
"2020-09-08","1.89","2.07","1.87","1.93","1.93","39266400"
"2020-09-09","1.99","2.00","1.83","1.84","1.84","36272400"
"2020-09-10","1.66","1.74","1.55","1.56","1.56","62233200"
"2020-09-11","1.57","1.58","1.47","1.52","1.52","24244800"
"2020-09-14","1.70","1.75","1.61","1.73","1.73","40476000"
"2020-09-15","1.72","1.82","1.67","1.77","1.77","22974000"
"2020-09-16","1.76","2.26","1.76","2.17","2.17","77025200"
"2020-09-17","2.14","2.44","2.10","2.30","2.30","68106800"
"2020-09-18","2.30","2.44","2.23","2.37","2.37","69630000"
"2020-09-21","2.34","2.40","2.10","2.19","2.19","30559200"
"2020-09-22","2.61","2.79","2.48","2.64","2.64","139010000"
"2020-09-23","2.65","2.72","2.48","2.51","2.51","42604800"
